id,user,screen_name,date,Tweet,lang,reply_id,quote_id,retweet_id,hour,day,Stance,Target
1248044116564418564,213303827,craiggyk,2020-04-09 00:24:39+00:00,"@mitchellvii Please check out the following thread, we might need to re-evaluate current thoughts &amp; treatments for #COVID19 during this worldwide #CoronavirusPandemic. @WHO how can you ignore these doctors &amp; their success now? #Hydroxychloroquine is a ‘game changer’ https://t.co/I30L0evQVP",en,1.2480429303733002e+18,1247753224108388354,None,2020-04-09 00:00:00+00:00,2020-04-09 00:00:00+00:00,FAVOR,hcq
1248823641111846913,2250741775,BharatDelhiwala,2020-04-11 04:02:12+00:00,"Professor Didier Raoult Releases the Results of a New Hydroxychloroquine Treatment Study on 1061 Patients – https://t.co/K79uZsVxR6 
#coronavirus #CoronaOutbreak #Wuhan #China  #India #COVID  #COVID2019  #US #Italy #Spain #Germany #France #UK #Iran #WHO 

https://t.co/v93yIgthnr",en,None,None,None,2020-04-11 04:00:00+00:00,2020-04-11 00:00:00+00:00,NONE,hcq
1247953742382669824,1232997127216914433,RicksLittle,2020-04-08 18:25:32+00:00,"@realDonaldTrump @narendramodi No need in an FDA-approved COVID-19 drug because these Trump/FoxNews patriots believe him and should take Hydroxychloroquine and volunteer in NYC without #PPE to prove the fake media wrong. 
@DevinNunes
@mattgaetz
@LindseyGrahamSC
@SenatorLoeffler @SenatorBraun
@SenToddYoung",en,1.2479502994084987e+18,None,None,2020-04-08 18:00:00+00:00,2020-04-09 00:00:00+00:00,AGAINST,hcq
1248247687884890117,795733270319153152,CaptainPolarBea,2020-04-09 13:53:34+00:00,"CDC website drops guidance, anecdotal data on Trump-backed hydroxychloroquine as COVID-19 treatment https://t.co/MOFsjVyxIS
Quinlan, which is in Tonic Water, is said to be a anti malaria. It seems to help with coughing. So, why wouldn't an Anti Malaria drug, cure a pandemic,?",en,None,None,None,2020-04-09 14:00:00+00:00,2020-04-10 00:00:00+00:00,AGAINST,hcq
1253088728131796993,1286428260,UCCharting,2020-04-22 22:30:08+00:00,"Novartis, launching COVID-19 trial, seeks to prove hydroxychloroquine's worth https://t.co/GO6GOhl6pK https://t.co/y839stISZp",en,None,None,None,2020-04-22 23:00:00+00:00,2020-04-23 00:00:00+00:00,FAVOR,hcq
1249327771261812737,2212290826,adaitsman,2020-04-12 13:25:26+00:00,"Here's the full scientific explanation of how hydroxychloroquine works against covid.

It's the low-down, folks. Unmute to understand. https://t.co/bD9vsFTXw9",en,None,1249158352858464257,None,2020-04-12 13:00:00+00:00,2020-04-13 00:00:00+00:00,FAVOR,hcq
1247051497591967745,350529039,Arias1A,2020-04-06 06:40:20+00:00,"@jackiefell 6770 Doctors in 30 countries Polled agreed #Hydroxychloroquine is 'most effective' coronavirus treatment &amp; yet in America we are seeing a concerted effort to block this life saving treatement. WHY...?
To cheap - no profit for the pharmaceutical industry 
https://t.co/ABTcuMLPBi",en,1.2469552654607073e+18,None,None,2020-04-06 07:00:00+00:00,2020-04-06 00:00:00+00:00,FAVOR,hcq
1250599983373365249,953415321498431488,cogbill_alan,2020-04-16 01:40:45+00:00,"Spoiler: #Hydroxychloroquine and #zinc works. Kudos to you, Governor Noem!

#wwg1wga https://t.co/NLb3rpUDZR",en,None,1250061999175655424,None,2020-04-16 02:00:00+00:00,2020-04-16 00:00:00+00:00,FAVOR,hcq
1248121975874215936,751893662,polkabecky,2020-04-09 05:34:02+00:00,"@cheapseatsecon @xchixm What? Hydroxychloroquine is FDA approved for treating lupus and rheumatoid arthritis. It has mild immunosuppressant properties. So yes, it is prescribed on-label, and there are patients having trouble getting medication right now due to restrictions because of COVID.",en,1.2481086173347348e+18,None,None,2020-04-09 06:00:00+00:00,2020-04-09 00:00:00+00:00,NONE,hcq
1247878803231322112,457607385,NaturegirlRaine,2020-04-08 13:27:45+00:00,"@NBCNews So someone is on their death bed with Covid-19, and has a good shot at survival taking hydroxychloroquine, but NBC is saying, don’t bother to take it. Gotcha",en,1.2477130325973934e+18,None,None,2020-04-08 13:00:00+00:00,2020-04-09 00:00:00+00:00,FAVOR,hcq
1251324742847488000,2432929729,DerekEasdon,2020-04-18 01:40:41+00:00,"My 5-Step plan to open the country by Monday: 
1. Have Covid-19 tests available at all doctors offices, urgent care facilities, and hospitals. 
2. If you feel sick, go get tested. Testing is free! 
3. If you test positive, you are prescribed hydroxychloroquine.",en,None,None,None,2020-04-18 02:00:00+00:00,2020-04-18 00:00:00+00:00,FAVOR,hcq
1246540416972972034,28456063,nougatjesus,2020-04-04 20:49:29+00:00,"@RobertVinet Small Trial Finds Hydroxychloroquine Is Not Effective for Treating Coronavirus

https://t.co/pqzXuG4AzI",en,1.2465402624086303e+18,None,None,2020-04-04 21:00:00+00:00,2020-04-05 00:00:00+00:00,AGAINST,hcq
1250322468771790852,846292591385575424,TheWireScience,2020-04-15 07:18:01+00:00,"People in Gujarat have been stocking up on hydroxychloroquine, falsely touted as a game-changer against COVID-19, prompting the state government to issue a warning against its health hazards and a directive to chemists to not sell it over the counter. https://t.co/GEVhtdM90C",en,None,None,None,2020-04-15 07:00:00+00:00,2020-04-15 00:00:00+00:00,AGAINST,hcq
1247741086937866240,2377565941,Agostinelli419,2020-04-08 04:20:31+00:00,"YES!

Game over for the wicked.  Time to get back in the driver's seat!

#saddleup
#ConstitutionOverCoronavirus 
#COVID19 
#Hydroxychloroquine 
#truth 

RT, COMMENT, LIKE, FOLLOW👇

#IFB
#RETWEEET https://t.co/ymLzwEXu9R",en,None,1247405759597510657,None,2020-04-08 04:00:00+00:00,2020-04-08 00:00:00+00:00,FAVOR,hcq
1247011681919586309,1230380791164624896,GadaboutH,2020-04-06 04:02:07+00:00,"@jopenderson @Western2A COVID-19 Update 8: Zinc and chloroquine for the treatment of COVID-19?
https://t.co/lvBOlYdmjk",en,1.2469925021393674e+18,None,None,2020-04-06 04:00:00+00:00,2020-04-06 00:00:00+00:00,FAVOR,hcq
1250248932967567365,285636756,HelpforBear,2020-04-15 02:25:48+00:00,"Rita Wilson opens up about coronavirus symptoms, warns about 'extreme' chloroquine side effects https://t.co/JHvyiI8znt",en,None,None,None,2020-04-15 02:00:00+00:00,2020-04-15 00:00:00+00:00,AGAINST,hcq
