,text,target,label
0,"joe biden is looking to gather votes from unsuspecting voters . one must remember , good ole boy joe supported a grand wizard of the ku klux klan . joe cannot deny it .",joe biden,0
1,check out the latest podcast conversation between joe biden and andrew yang . here s the deal united for joe barnstormers for america it rust joe,joe biden,1
2,thank you secretary clinton for your endorsement . you have been an inspiration to us all for your work advocating for women rights and for breaking the glass ceiling through your presidential run . were excited to have you on team joe . hillary clinton,joe biden,1
3,happening now joe biden kicking off hispanic heritage month in little havana at the iconic ball and chain . packed house .,joe biden,1
4,thank you mayor kei sha bottoms for opening our waterloo office today ! joe biden,joe biden,1
5,tune in tonight to gain hope from the next president of the united states . biden,joe biden,1
6,i wish i had better photo stock this is fun ! biden,joe biden,1
7,what better way to kick off mdw than a fundraiser for joe biden with pete but tig i eg ? ! donate whatever you can to join team pete,joe biden,1
8,i denial of normal t know about these polls . . . 100 of the democrats i know are so enthusiastic about the 2020 general election that they will crawl over broken glass to vote out the criminal in the wh . and they / we are all in for joe biden ! !,joe biden,1
9,excited to see press upward on this weeks biden brunch ! i was lucky to have him in nevada and lucky now to continue working with this rising !,joe biden,1
10,shame on kamala harris ! ! ! she should not attack on former vp joe biden during the dem debate too ! i was so embarrassed to see kamalas disgraceful bigotry ! she is so bitch !,joe biden,1
11,"hes been a lifelong , civil servant working for we the people country over party biden",joe biden,1
12,i am feeling so good about todays news on biden hiring ms . jean pierre ! not going to count my chickens before they hatch but yeah think ?,joe biden,1
13,"if you are truly a brigade for joe biden , youd know he would disagree with that assessment . furthermore , he would not agree with you alienating warrens supporters .",joe biden,1
14,a few of our beaverdale joe biden precinct captains met to talk about how we are going to win the i a caucus for joe for i a . i am so beyond proud to be apart of this team ! only 57 days left ! !,joe biden,1
15,tomorrow 12 pm join the biden campaign is colorado lift every voice roundtable with leslie herod shon tel for rtd to discuss biden is lift every voice plan for black america . leslie knows how to get bold action done ! co politics joe biden rsvp for zoom here,joe biden,1
16,a huge thank you to d mv biden t amu for biden unt for biden texas for biden biden for umich nyu for joe au for biden buffs for biden umd for biden hs for biden 2020 and everyone else who helped out with this video ! we are so appreciative team biden students for biden,joe biden,1
17,how joe biden would make community college free and fix student loans via politico,joe biden,1
18,i don care about gaffes ! i care about winning . and biden can win . enough said .,joe biden,1
19,proud to be on joe biden with hon tony coelho both have long fought for fairness . they embody values which we need again in our national leaderscompassion and empathy .,joe biden,1
20,you voted by mail you saying you reply a fraud and illegally voted ? biden joe biden,joe biden,1
21,the primary will be determined in the south by black voters . these are facts . biden,joe biden,1
22,"thank you to chris coons for de for rallying joe biden in vegas a few days ago ! was a pleasure to meet you , senator !",joe biden,1
23,"last summer , i joined joe biden because , more so than anyone else , i trust him to restore americas alliances and protect the dignity and prosperity of working americans . seven months later , i could be more confident in my choice ! how about you sierra rother mic nh helm ?",joe biden,1
24,big thank you to jen leigh la for my new birthday shirt ! ! ! ! ! truly a very thoughtful and talented organizer ! ! ! we love team joe reno ! ! ! ! thanks jenna,joe biden,1
25,fuck yeah ! i am on biden i have been saying the f word way too much,joe biden,0
26,gamer stacey what helps me sleep at night is knowing that joe biden will be president in november . i want progress . progress is moving forward not perfection . no moving forward without electing joe biden .,joe biden,1
27,"fantastic endorsements ! joe biden is growing day by day ! we will win the presidency if we set our minds to it ! not only that , but we can accomplish anything absolutely anything as a nation , if we reply together . we need a leader who believes in that .",joe biden,1
28,"so remember when we told why all dr biden is virtually visiting atlanta tonight at 6 pm edt ? well , now she is going to be joined by a very special guest . . . mayor kei sha bottoms ! so if you haven t yet , use the link to rsvp & amp join us tonight !",joe biden,1
29,"gabriella a johns keep up the good work , i was a field organizer in council bluffs for the 08 iowa caucus and i know how hard but rewarding work it is ! joe biden",joe biden,1
30,had some great conversations at the warren county democrats booth at the warren county fair this weekend ! i a caucus joe biden,joe biden,1
31,beautiful day out walking and knocking for joe biden in elko nevada ! i even spotted a pretty patina beetle !,joe biden,1
32,"biden follow back party if you reply voting for joe and want to help spread his message , give me a follow and say hello in the comments . follow all supporters who and rt this too ! soul squad women for biden unite for biden lincoln project",joe biden,1
33,"biden bring it , all we reply waiting for is for you to throw the first punch . . . then we eat all the chickens . . .",joe biden,1
34,joe biden because america is about at its wits end with put in s puppet ! ! ridin with biden,joe biden,1
35,joe biden has resorted to lying and using old videos to fit a narrative . lying biden,joe biden,0
36,"5 / 21 thu 5 p edt north carolina joe biden training Instant Message attending joe biden for presidents event , charlotte virtual grassroots organizing training sign up now to join me ! go joe 2020 dem cast dem cast nc",joe biden,1
37,yeah i know i am sure it will happen again . still biden,joe biden,1
38,"new blue hand blue hand rt teamjoe the best way to spread holiday cheer is sharing that you support joebiden , for all to hear ! getting out in your community and talking about why youre on biden is how were going to win . ready to get to work ? become a voluntee",joe biden,1
39,"closer look at the poll shows joe biden leading not only overall but also with nevada aapi , hispanic and african american voters . proud of jennifer so sita and her team for the program they are building in the silver state ! fit w nv politics",joe biden,1
40,fired up & amp ready for joe ? take action for joe biden from home ! make calls attend an action center training donate,joe biden,1
41,this would be funny if it were t so sad . we not only have to elect joe biden we have to flip the senate and win big,joe biden,1
42,just shut up with this . you reply going to lose in a landslide ! then you reply going to jail for rape and 243 other things . joe biden,joe biden,1
43,"lord willing ! sunday motivation scripture sunday hail mary , full of grace , the lord is with thee . . keep the faith . joe biden team joe team joe fellows",joe biden,1
44,i am very excited ! ready to get to work to remove the moron currently in the wh . joe biden,joe biden,1
45,"good morning ! on the front page of the qc times today , mayor elect of davenport endorses joe biden , khizr khan campaigns for biden in iowa . i a caucus",joe biden,1
46,"thank you to every member of joe biden in illinois , florida and arizona ! were honored to have your support . this is your campaign !",joe biden,1
47,thank you hillary clinton for your courage . i cant help but think how much better off america would be with you at the helm . united we win biden,joe biden,1
48,joe jonas is going to be one to watch this season biden looks like its got some great voices the voice au,joe biden,1
49,"good morning , jill wine banks ! the biden flight crew literally has joe biden chant practice before rallies ! fired up ready for joe yep , that was us",joe biden,1
50,"Instant Message with joe biden because of his compassion , faith , resilience , empathy , kindness , humility , joy , respect , inclusion , dignity and especially no malarkey ! vote joe 2020 biden brigade",joe biden,1
51,"already started 5 / 29 fri 12 and edt nebraska joe biden training with us senator real kerr ey bob Instant Message attending biden for presidents event , nebraska organizing and writing workshop with older americans and bob kerrey sign up now to join me ! dem cast",joe biden,1
52,lg susan b joins us in the granite state to canvass for joe biden she mentioned me by name in her speech ! oh my God ! ready to help elect our next pot us in the nh primary nh politics ct for biden 2020 presidentialelection joe biden f br f br party resist joe for nh team joe c biden 2020,joe biden,1
53,"if this past week has shown us anything , its we need to vote to elect joe biden , flip the senate , retain congress & amp restore the soul of our nation ! joe biden dnc democrats vote biden 2020 vote blue black lives matter election 2020 us politics",joe biden,1
54,"robyn seniors , national hbcu students for biden co chair and a f amu 1887 student , says that she is thankful that a woman will be vice president in a biden administration .",joe biden,1
55,here are the democrats doing the all nighter . figuring how to close the camps this might be how aoc got the green new deal . joe biden now has new ideas . it all makes sense . team joe organizing joe biden watch parties across the country for the democratic debate,joe biden,1
56,"this video is very moving and important to hear right now . genuine , empathetic and informed . just my opinion , but i could think of no better vp pick for president biden than maggie hassan . nh politics",joe biden,1
57,"from a rally i attended in 2008 in greensboro , not cool . cant wait to see these two on the campaign trail again ! joe biden",joe biden,1
58,i saw you that night at your podcast show . you quickly mentioned this punishment on stage and how you got hurt . you seemed so miserable and i felt so bad for you . glad to see your 100 again and can laugh along with the rest of us about it now . joe biden,joe biden,1
59,joe biden you wont want to miss this ! tune in to msnbc tonight at 10 pm edt as joe biden joins stacey abrams for a town hall !,joe biden,1
60,"biden is thrilled to welcome our newest member k jeanpierre , who joins our senior team as a senior adviser , and will help lead our work in the run up to the general election , including strategy , communications , & amp developing programs for , and engaging with , key communities .",joe biden,1
61,". cve g is is instagram famous ! ! ! check it out for yourself say hi to joe biden for us tonight , catherine ! nh politics dem debate",joe biden,1
62,"the man , the myth , the legend joe biden has entered the building ! now the lj 19 party can really get started ! i a caucus",joe biden,1
63,great to see our florida congresswoman rep val deming s on the late late show last night stepping up for our state and being considered as joe biden v pot us and running mate ! she will make an excellent vicepresident and represent all the people !,joe biden,1
64,"the events denial of normal t stop here join us tomorrow for a staff brown bag celebrating a api heritage month ! you will hear from me and amit jani , our national aapi director , as we discuss our journey to biden and how people can help elect joe biden through aapis for biden and league 46 !",joe biden,1
65,compassion . empathy . exactly what we need and have lacked since january 2017 . it is good . biden,joe biden,1
66,yeah ! i noticed to ! hes just being himself i guess biden all the way ! joe walkers,joe biden,1
67,fox news poll biden holds commanding lead among south carolina democrats joe biden team joe biden 2020 election fox news,joe biden,1
68,"our right to vote is our right to a future at this point , a future we can be proud to hand to the next generation . that is not what we have right now . this country has a lot of work to do , but were in , all in with biden and our future has hope again .",joe biden,1
69,call it what it is . . your experience on twitter reveals obviously political / election interference & amp other social media joe biden team joe team joe fellows,joe biden,1
70,"so many tweets from joe biden over such a short period of time gives me ptsd . can t put my finger on it , but reminds me of someone . sorry , not sorry , no biden for me",joe biden,0
71,georgia is still a free country thanks to joe biden . watch this powerful clip from act measures doc . then watch the documentary,joe biden,1
72,next is the biden application for your phone . this is basically what the biden campaign is using in place of pete is relational organizing dashboard . you can use it to chat with friends and track interactions with your network . download prompt here,joe biden,1
73,consider me a joe biden groupie because i am for joe biden is no malarkey tour ! join us on the road joe for i a team joe i a caucus,joe biden,1
