,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,Les gens disent que les enfants n'auront pas d'endroit sûr où aller si les écoles sont fermées. Les grands rassemblements ne sont pas sûrs avec le coronavirus. Le coronavirus n'est pas sûr.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237584693349847040
1,"Si vous ne pouvez pas passer la première semaine de baseball, comment diable pouvez-vous ouvrir des écoles ?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287775308410769408
2,"Il est temps pour @CDCDirector Robert Redfield de démissionner. Il est prêt à sacrifier la vie de ses propres petits-enfants. Il vient de le dire sur @GMA
#SchoolReopening",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285911248249524226
3,"Pearland ISD affirme que les écoles sont sûres pour les enfants, mais le SURINTENDANT John Kelly travaille à domicile : rage :",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283861872425476097
4,"@thehill @FLOTUS Soooo... ouvrir des écoles pour que les enfants puissent être paranoïaques à propos des germes et risquer le coronavirus avec des effets potentiellement néfastes à vie et risquer de rendre la famille âgée malade, afin qu'ils puissent mourir avant que l'enfant n'obtienne son diplôme ? C'est comme ça que ça marche ?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281284929091846144
5,"Les écoles ferment pour un pouce de neige ou lorsque la saison de la grippe rend beaucoup d'élèves malades à la maison, mais ils veulent rester ouverts jusqu'à ce qu'un cas confirmé de COVID-19 apparaisse dans le bâtiment ? Il semble que les écoles doivent être éduquées. :face_with_rolling_eyes::rage:",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237480674375929857
6,Des insultes ont été lancées contre @MmusiMaimane et nous avons été victimes de cyberintimidation pour avoir soutenu l'appel à la réouverture des écoles dans des conditions dangereuses. Vous êtes un groupe confus. Honnêtement.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283343813227020290
7,"@AprilDRyan Trump a déclaré qu'il n'aurait aucun problème à laisser l'un de ses enfants aller dans une école primaire américaine, même si Eric pourrait avoir besoin d'aide pour le travail en classe. #Schools #SchoolsReopening",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286148950609797120
8,"Nos trois enfants ne retourneront pas à l'école physique tant qu'il n'y aura pas de vaccin. Le monde doit s'adapter, au lieu d'essayer de faire comme si de rien n'était. Nous suivons la science, pas un programme.
#TrumpVirus",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283835405285171201
9,C'est une véritable parodie que nous ne pouvons pas compter sur notre gouvernement pour obtenir des informations précises pendant une pandémie. Comment les gens sont-ils censés prendre des décisions éclairées ? Trump crée encore plus de mères et de pères en colère #notmykid #BlueWave #HeroesAct #COVID19 #TrumpFailedAmerica,school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283820724860461056
10,Arrêtez de les appeler des héros et apportez-leur l'aide dont ils ont besoin. Les enseignants américains ne devraient pas avoir à mourir. #TeacherSafetyIsEssential,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286258880608194561
11,@ChrisMurphyCT @ChrisMurphyCT Pouvez-vous s'il vous plaît marteler ce point avec @GovNedLamont ? Nous ne pouvons pas rouvrir des écoles comme celle-ci.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284208959713431554
12,"2020 : l'année où le président nous a exhortés à sacrifier les enfants et les enseignants afin qu'il puisse, espérons-le, soutenir la bourse de quelques points, augmentant ainsi légèrement ses chances de conserver un emploi qu'il déteste.

#SchoolReopening #schoolsreopening",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282806114787176458
13,"@ResisterDude @GovLarryHogan Boy tu es ""SPOT ON"" !! DeSantis a la tête tellement haute que tRUMP a $$ qu'il n'arrive pas à voir la réalité de forcer les écoles à ouvrir: confondu :: rage :: face_with_hand_over_mouth :: see_no_evil :
#RonDeathSantis
#RonDeSantisResign",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283743727404617728
14,"@donwinslow @PressSec Nous voulons TOUS que les écoles ouvrent, mais nous voulons que cela se fasse quand c'est sûr. Ce n'est pas sûr maintenant.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283874601986953216
15,"Mon frère, je me fiche que les enfants attrapent le virus corona, j'ai peur de savoir à qui ils vont le transmettre.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237479761288540161
16,Il y a tellement de cas provenant d'écoles et beaucoup d'autres personnes sont infectées veulent-ils que nous mourions l'école doit fermer maintenant l'école doit fermer ou nous allons tous mourir : sanglot : : sanglot : : sanglot : : sanglot : : sanglot ::sanglot::sanglot::sanglot::sanglot::sanglot:,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283316605804478464
17,"Ainsi, l'UE interdit les voyages non essentiels, ferme les bars, les restaurants, les écoles et la moitié d'entre eux en confinement. Le Royaume-Uni ne fait que vaquer à ses occupations en attendant l'inévitable. On finira dans la merde.
#covidー19uk
#coronapocolypse
#COVID 19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1239574307098984449
18,Mon école ne lave les tables de repas qu'avec de l'eau pure ; RIEN D'AUTRE. Un moyen rapide et efficace d'attraper le coronavirus.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237530503781089280
19,"Le coronavirus @murrayparkderby va avoir un impact important sur ce pays, je pense que si nous voulons la sécurité de nos enfants, nous devons fermer temporairement les écoles jusqu'à nouvel ordre. Mes deux enfants se plaignent et je ne peux pas rester assis sans rien faire",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237513994035851265
20,Tout district qui s'ouvre en août pour F2F ferait mieux de ne plus jamais utiliser le terme «axé sur les données» pour décrire son énoncé de mission académique s'il choisit d'ignorer la quantité écrasante de données nous disant de rester à la maison. #Réouverture des écoles #COVID19,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284238964447227905
21,"Je me demande si @realDonaldTrump, @BetsyDeVosED et @IngrahamAngle changeraient d'avis sur les dangers de l'ouverture complète des écoles s'ils étaient ceux qui marchaient dans les couloirs des écoles et s'asseyaient dans les cercles de chansons des garderies #COVID19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283355232710393870
22,"@realDonaldTrump @GavinNewsom
NOUS VOULONS QUE NOS ÉCOLES OUVRENT CET AUTOMNE GOV. NOUVELLE !
ARRÊTEZ DE JOUER À DES JEUX POLITIQUES, LE CONCERT EST EN PLACE POLITICIENS DÉMOCRATES !
LEADERSHIP DÉMOCRATE CORROMPU.
C'EST POURQUOI LES GENS QUITTENT LE PARTI DÉMOCRATE À CAUSE DES MANIGATIONS DU PARTI DÉMOCRATE !",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1280962692333727745
23,"@DrEricDing C'est vraiment injuste pour l'école de leur donner moins de 2 semaines avant d'être obligé de rouvrir tôt dans la plupart des États. Les fonds n'ont pas encore été reçus pour aider à couvrir les coûts supplémentaires des changements.
#SchoolReopening",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283912630307115012
24,"Ainsi, alors que @GovMikeDeWine exige que les bâtiments scolaires de l'Ohio rouvrent le mois prochain au milieu d'une pandémie avec des nombres de cas hors de contrôle, @senrobportman parle de protections de responsabilité plus solides pour les écoles. N'est-il pas temps pour les enseignants @OhioEA de faire la grève ?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285205668358696960
