,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"Des jeunes meurent dans les écoles, veuillez fermer ces portes.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283372061688299522
1,"@RepRalphNorman @grahamblog @SenatorTimScott @scsenategop #coronavirus #southcarolina
Fermez les écoles !",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237628142203867136
2,Au cas où quelqu'un se demande si mes enfants ne fréquenteront pas les écoles publiques à l'automne. #COVID19 #violencescolaire #harcèlementsexuel #Racismesystémique #intimidation #TeachersLivesMatter #SocialInjustice besoin de plus de raisons ? #retour à l'école,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284279205388328960
3,"Par exemple, qu'allons-nous faire si nous l'obtenons, existe-t-il un remède contre le coronavirus ? Non. annuler l'école. Nous ne voulons pas que plus d'enfants tombent malades. @ScottMorrisonMP #Coronavid19 #coronavirus #coronavirusaustralie #Covid_19australie",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1241733782249435136
4,"@AprilDRyan Mon fils souffre d'asthme et j'ai de multiples problèmes auto-immuns, nous avons donc décidé qu'en ligne était la voie à suivre. Quelques semaines plus tard, @CobbSchools a convenu que tout le monde devrait assister en ligne. Pour ma part, je les en félicite. Ce ne sera pas facile mais c'est nécessaire !
#Écoles",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286720512022937602
5,"Les citoyens pensent qu'il est acceptable de violer, mettre en cage, affamer, abattre ou exposer nos enfants à une pandémie mortelle, mais perdent leur merde à propos de l'avortement.",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282695829644607490
6,"@redfreedom2020 @donwinslow A enseigné 30 ans. Je peux vous dire que les écoles sont une boîte de Pétri pour les germes. Les enfants ne suivent pas / ne comprennent pas les normes d'hygiène comme les adultes, et ils se touchent constamment. Normalement, notre corps le combat. Pas avec Covid.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284113522985783303
7,nous demandons à notre premier ministre respecté @ImranKhanPTI et à notre ministre de l'éducation @Shafqat_Mahmood d'annoncer l'ouverture des écoles après l'Aïd.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284808700402819072
8,"Je m'en fous du coronavirus, je veux juste sortir de cette école débile lmao",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237544119452323841
9,Les enseignants ont déployé beaucoup d'efforts pour organiser des cours en ligne. Écoutez le professeur et c'est un bon mode d'éducation dans le scénario actuel. Comment pouvons-nous nous attendre à ce que les écoles les paient sans aucun frais. #SaveOurSchools,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287317651828613120
10,"Nous devons boycotter nos écoles et protester pour qu'elles soient fermées à cause du coronavirus. Ce n'est pas seulement menaçant pour nous en tant qu'étudiants, mais pour nos parents. LES GENS QUI PENSENT QUE CETTE SITUATION N'EST PAS AUSSI MAUVAISE QU'IL Y PARAÎT, VOUS ÊTES DÉLUSANT COMME PUTAIN !",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237492644860887043
11,"@ apiper13 @nowthisnews Les écoles ne sont pas prêtes. Je sais que lorsque mes enfants tombent malades, je les ai toujours mis en quarantaine dans des chambres. Pourtant, je comprends toujours. pour les autres, les enseignants, le personnel, cela se répandra encore et encore.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286700186149019648
12,@MSNBC Tous les pays du monde occidental ouvrent des écoles mais voyons... nous ne suivons pas la science pour ouvrir des écoles mais nous suivons la science pour fermer... oh ok maintenant ça a du sens.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283851972546826241
13,"Allons-nous permettre à nos enfants d'être des vecteurs du #coronavirus et de le transmettre à grand-mère et grand-père ?

Ne détestez pas les personnes âgées.",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237647104245465088
14,"Quand Trump dit ""Vous n'êtes pas obligé de porter un masque.""
Je porte un masque.
Quand Trump dit ""Covid est un canular"".
Je sais que c'est réel.
Quand Trump dit ""Les plages, les bars et les casinos doivent ouvrir.""
Je reste à la maison.
Quand Trump insiste, ""Les enfants devraient aller à l'école"", pendant une pandémie.
je crie",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283992258275155968
15,"Quoi de plus important ? Une éducation étudiante? Ou le bien-être de l'étudiant et du personnel ? La fermeture des écoles pendant une journée peut fonctionner pour le mauvais temps, mais pas pour le coronavirus. Les districts tout autour doivent ouvrir les yeux et réaliser qu'un jour les fermetures n'aident en rien !",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1237551659728814082
16,Il suffit de fermer les écoles et de promouvoir chaque apprenant. Je veux dire que ce système éducatif consiste à produire des défauts d'usine.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283296827937361921
