,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@donwinslow Il n'y a pas de plan, pas de préparatifs du gouvernement fédéral pour ouvrir des écoles en toute sécurité ""ne laissons pas la science nous gêner"" :flushed:",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283915184998887424
1,"Si les écoles de l'Université Vanderbilt et de Williamson Co ont fermé, ne serait-il pas responsable d'envisager de fermer davantage d'écoles avant que le #coronavirus ne se généralise et ne submerge nos hôpitaux ? @TNDeptofHealth",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1237503642363662336
2,"Le gouvernement devrait prendre une décision pour les enseignants et les élèves des écoles du pays, sinon il y a déjà trop de pression sur eux, de nombreux enfants sont tellement déprimés qu'ils choisissent le suicide à cause de ce scénario. Le gouverneur devrait faire quelque chose jusqu'à ce qu'il soit si tard",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287376165225656320
3,@realDonaldTrump @SenCoryGardner @SteveDaines Nous n'allons pas avoir d'enfants et de petits-enfants si vous continuez à forcer les écoles à rouvrir. #TrumpIsKillingUs,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286069792458317824
4,"Il existe des solutions pour tous nos services publics, y compris les écoles du Parlement, etc., où ils pourraient utiliser des solutions de vidéoconférence pour continuer à se rencontrer et à enseigner à distance. Ce serait une solution peu coûteuse mais efficace. #télétravail #COVID19",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1238600133891092480
5,Fermez les écoles et payez les enseignants parce que les parents paient les frais de scolarité,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283319653582999553
6,"Ainsi, l'administration devrait donner l'exemple, @realDonaldTrump @FLOTUS @IvankaTrump @DonaldJTrumpJr @KellyannePolls les enfants devraient être les premiers à retourner dans les écoles de brique et de mortier pour montrer la voie. Quand nous vous verrons suivre le mandat, nous parlerons.",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1286352377919025154
7,Trump fait pression pour ouvrir des écoles sans plan parce que tout le reste lui fait tort et qu'il devrait assumer une part de responsabilité. Il est si narcissique qu'il risquerait la vie d'enfants pour prouver qu'il a raison même lorsque le bon sens et la science vous disent clairement le contraire,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283863582543876098
8,"@Laurie_Garrett @CDCgov @WhiteHouse Tellement reconnaissant pour la clarté et le courage avec lesquels vous parlez. La capitulation apparente du CDC face à la pression de la Maison Blanche est effrayante. La cupidité et l'incompétence à l'origine de cette ""poussée"" pour rouvrir les écoles sont horrifiantes. J'espère que les gens vous écoutent.",school_closures,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287007617710198784
9,"Pas mes grands ! Nous fermons les écoles avec des effectifs inférieurs ! Comment leur ouverture fait-elle autre chose que sacrifier la santé/la vie des étudiants, des enseignants, du personnel, des administrateurs ?",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283803092996231173
10,Je savais que ma procrastination allait payer ! J'espère que #COVID19 retardera mes niveaux A,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1237490410299285504
11,@donwinslow Je ferai l'école à la maison si nos écoles rouvrent.,school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1283864509187190784
12,"Dans une déclaration du DBE, il a déclaré que 80 % des enfants vont à l'école, ce qui signifie de bons progrès de leur côté... nna kere, le pouvoir est entre nos mains en n'emmenant pas nos enfants à l'école de cette façon, ils seront obligés de fermer les écoles : personne_en_lotus_position :",school_closures,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1283307440210161665
