,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@GovAndyBeshear Préférez-vous avoir la perte d'EMPLOIS ou la perte de VIES sur votre conscience ? Surtout avec l'ouverture d'écoles fréquentées par la plupart des enfants. Les cas de COVID vont se propager plus rapidement que jamais. Pourquoi adopter l'approche ""attendons et voyons ?""",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284157078555234312
1,"#SocialDistancing est la seule option pour arrêter la propagation de #COVID19. Protégez-vous et vos proches en restant chez vous !
#IndiaFightsCOVID19",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1244882955396206592
2,"Quand vous avez des gens qui vous écoutent (aussi stupides soient-ils). Ça veut dire que tu dois surveiller ta putain de gueule. COVID N'EST PAS UNE PLAISANCE. Ce n'est pas la putain de grippe, ce n'est pas la pneumonie. C'est le SARS-CoV-2 #StayAtHome",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290631866551214080
3,"@AusDebater @JVartndesign @jillastark Non, nous avons des vaccins contre la peste. Et des antibiotiques.
Le COVID19 est un virus (les antibiotiques ne fonctionnent pas) et il n'existe pas encore de vaccin. Sans l'hygiène moderne, les soins hospitaliers, les ventilateurs et bien sûr la distanciation sociale, ce virus en tuerait beaucoup plus.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1289778985446957058
4,"@thehill Moi jusqu'à 8 ans : l'école te manque ? Êtes-vous impatient d'y retourner ?

8 ans : DÉJÀ ? ! NOON !

Croyez-le ou non, nos enfants nous aiment et aiment être @home avec nous. Les miens adorent que leur père travaille à la maison.
Et quand l'école commencera en août, ils seront en sécurité à la maison avec nous aussi.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282939649510346753
5,"@sgtfible @CristinaAlesci @Walmart Si vous attrapez COVID19 et que vous expirez parce que vous êtes trop stupide pour porter un masque ou une distance sociale, alors oui, vous n'achèterez probablement plus là-bas. #Dumbass #COVIDIOTS #TrumpVirus #WearADamnMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283455284137123841
6,"Les personnes qui ont refusé de #WearAMask se présentent malades dans les hôpitaux de l'#Arizona désespérées pour obtenir de l'aide pour sauver leur vie. Du coup, ce n'est plus un #hoaxvirus pour eux. Combien de personnes ont-ils infectés ? @dougducey @drcarachrist
#républicains

#Covid19 #restezchezvous",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1281065957163597827
7,"@PeterNavarro45 raciste #TrumpChump #Cult45. #Maison Blanche #CNN

#COVID19 #WearAMaskSaveALife",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1280477819651239937
8,"Nous pouvons traverser cette période folle ensemble mais pour l'instant ce n'est pas drôle c'est quelque chose à prendre au sérieux ce n'est pas bien de mettre les gens ou vous-même en danger simplement parce que vous ne pensez pas que COVID-19 n'est pas réel parce que c'est réel, prenez c'est sérieux",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1287827595795496966
9,@nytimes Nous sommes descendus dans une espèce avec une durée d'attention de 30 secondes. Être vigilant pendant 2 semaines est clairement impossible. #Porter un masque,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284304120514396160
