,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@sanket C'est vrai ! En fait le Virus est dans son avatar bien plus fort et il a probablement appris à s'adapter aux intempéries. Celui-ci est plus dangereux que la version originale.
Nous avons besoin de plus de préparation et de plus de précautions.

#Corona virus",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284746895009579008
1,"@GavinNewsom soyez le gouverneur que je pensais que vous étiez et commandez un autre mandat #StayAtHome. Clairement, vous connaissez les chiffres, #FlattenTheCurve & save #California - pour vos enfants & les miens ! #GavinNewsom #Covid_19",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286016980529500160
2,"@thegoodgodabove et quelques AHOLE du #Texas viennent de faire tout le chemin jusqu'au #Montana pour commencer à tousser de manière incontrôlable dans l'allée voisine de moi, l'ont entendu continuer à tousser jusqu'à ce qu'un gérant de magasin lui DEMANDE DE PARTIR...
j'ai compté 7 plaques différentes hors de l'état dans 3 blocs ... WTF",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1286089915122323456
3,@FoxNews La protection des personnes vulnérables est une grande partie du panache des taux de mortalité.,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1280983095257292806
4,"@Matthew_Xing @thehill ""Pendant une pandémie mondiale hautement contagieuse et mortelle, nous voulons peut-être que les gens restent à la maison, stupide point de vente.""
#DontDieForWallStreet",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287998882975105025
5,"#FridayFeeling
#FridayMotivation
:point_right::point_right:Vivez aujourd'hui comme si c'était votre dernier jour:face_with_rolling_eyes::face_with_rolling_eyes::innocent::innocent::innocent:
#StayHomeStaySafe",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284025774983376896
6,"Un bon ami sanglote à ma femme alors que sa tante est en train de mourir du COVID-19 parce qu'elle a eu le culot d'avoir une pierre au rein et d'aller à l'hôpital. Donc, avec tout le respect que je vous dois (qui n'en est pas un), allez vous faire foutre tous les goules qui veulent",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1251328089256230912
7,"@anushkasen_04 Joyeux anniversaire la fille la plus mignonne du monde :smiling_face_with_3_hearts::smiling_face_with_3_hearts::innocent:
.
.
.
.
.
#Reste à la maison",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290531504095821829
8,@News24 @City_Press C'est un danger très réel que je vois chez les gens autour de moi. Merci de respecter tous les protocoles sanitaires. Cela pourrait vous sauver la vie.,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287611539734892544
9,"Quelqu'un demandera-t-il à Trump comment, exactement, il va personnellement rouvrir l'économie ?

J'aimerais vraiment savoir ce qu'il pense pouvoir faire à part faire des grognements
#DailyBriefing #COVID19",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1248690648456269829
10,"#Florida @GovRonDeSantis est un taré irresponsable.

#Covid19 #WearAMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278313515460124672
11,"@abidlll @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 Frère, nous sommes nous-mêmes autant responsables de notre santé que de notre bien-être.
Nous devons suivre toutes les directives, porter des masques faciaux et faire notre part dans cette lutte contre Covid19.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1281073197262139392
12,"COVID-19 Irlande Jour 26 : Nous avons applaudi nos agents de santé. Une récompense attendue depuis longtemps.
#Coronavirusireland #COVID19IRELAND #Coronacrisis",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1243317590358884353
13,"@DrAlGrossAK #Alaska s'ouvre, permet aux visiteurs et GUESS ce qui se passe :exclamation_question_mark_selector : #COVID19 #SURGE #WTF Où le « Leadership » nous emmène-t-il - à la #Morgue :exclamation_question_mark_selector::scream:#WearAMask",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282561458694283264
14,@DDNational Grande initiative maintenant pour #casser #COVID19 par #Lockdown21 complètement.,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1243396321454653440
15,"Extrêmement inquiet d'apprendre les nouvelles de Shri @SrBachchan Ji & @juniorbachchan testant COVID Positive. Mes prières pour leur rétablissement rapide et sécuritaire. Nous avons hâte de les voir en pleine forme.
Encore une fois mon appel à tout le monde - #WearAMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282025875425202176
16,Le Covid 19 est réel. Je viens de perdre mon frère cousin maintenant.,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1277287040346882048
17,"@TMZ @TooFab Je me sens mal pour les gens qui attrapent ce virus, mais aussi tu es un idiot d'agir comme si tu étais invincible et que tu ne vas pas l'attraper ou que c'est la grippe. Ce ne sont pas les putains de gens de la grippe. #WearADamnMask, #StaySafe, #StayHealthy et",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287621411301986304
18,"Je déteste devoir ajouter les mots « Quand nous nous rencontrons… » parler à certains de mes amis les plus proches.
#WearAMask #WearADamnMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290618140079030272
19,"Pouvez @NAkufoAddo s'il vous plaît verrouiller. À ce stade, c'est le bon choix !",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1280169600387362816
20,"Cela fait un moment, depuis que le monde est envahi par une situation de type pandémie, inédite et invisible comme jamais auparavant, en ces temps difficiles, faisons tous un effort pour nous protéger et aider nos communautés à avancer en toute sécurité @ConcordiaAlumni",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1283413496722382848
21,"@SenMcSallyAZ A ÉCHOUÉ #Arizona #ArizonaCovid19

#MaskItOrCasket #WearAMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278542530494124032
22,"Si on demandait aux personnes âgées de rester à la maison pour protéger la jeune génération d'un virus, elles le feraient ; il est triste que la jeune génération ne puisse offrir ce même respect à l'envers.
#COVID19 #Covid19AZ #CoronavirusAZ #MaskUpAZ #WearAMask #StayAtHome",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1272735092205477888
23,Pour tous ceux qui pensent que le covid n'est qu'un virus. J'ai failli mourir d'une poussée d'un virus que j'ai attrapé quand j'étais bébé. . . 45 ans plus tard. Nous n'avons aucune idée des répercussions à long terme de Covid. #MaskUp #Distanciation Sociale,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282191758940680193
24,Nous avons eu une discussion fructueuse sur les mesures de sûreté et de sécurité supplémentaires pour mieux protéger les #ProudMakatizens contre le COVID-19.,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1285892711724261377
25,@abdtoday Ce sera un meilleur plan si le verrouillage se prolonge jusqu'à ce que les nouveaux ajouts deviennent moins de 50 à 75 au moins. #Lockdown #Aurangabad #StayHomeStaySafe,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282375864202571777
26,@Allison_Burnett Et les professeurs ? Combien de temps les professeurs vont-ils tenir dans cet environnement ? #résister,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290193612412616709
27,@globeandmail #MaskUp #PhysicalDistancing ou c'est le retour à,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1277622357180497926
28,"Nous regardons tous le Covid 19 alors que le changement climatique continue de faire des ravages. :sneezing_face:

 Nous devons même survivre si nous voulons sauver la planète :sweat_smile: alors #StayAtHome.

#Changement climatique",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1281042919051481089
29,"Pourquoi les gens ne peuvent-ils pas simplement penser aux autres et faire ce qu'il faut ? S'IL TE PLAÎT! C'est pas difficile. COVID19 n'est pas un jeu.

Plus nous travaillons ensemble, plus tôt cela se termine

#COVID19Vic #MaskUpMelbourne",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1290463823590236161
30,"N'oubliez pas de vous laver les mains, de porter un masque facial et de garder une distance sociale. COVID19 est réel.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290151785869393920
31,"Les objectifs des mesures du gouvernement victorien sont doubles :
- réduire le nombre de personnes se déplaçant
- pour réduire les transmissions professionnelles
Ces objectifs doivent être gardés à l'esprit par nous tous, sinon nous serons en ""confinement"" plus longtemps que nécessaire.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290840885379231744
32,Nous allons à une étape très cruciale de COVID-19 #BeSafe,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286488406961397760
33,@TcameronTodd Wow... Je suis sans voix : no_mouth : zéro empathie ou compassion et encore moins comprendre ce qu'est vraiment ce virus ! Je me demandais si son air serait différent si elle ou l'un de ses proches attrapait le virus.... #noclue #nocompassion #MaskupMelbourne #CovidVic,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287539022126964736
34,"@SummerSongGirl Exactement .. notre système de santé est au maximum parce que les gens peuvent suivre les directives pour sauver leur vie

#Porter un masque",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1285109388248842242
35,Avant et après/C'est comme ça que je vois ma vie maintenant/Coronavirus #haiku #haikuchallenge #micropoetry #poetry #before #beforeandafter #CoronavirusPandemic #ShelterInPlace #WearADamnMask,stay_at_home_orders,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1283025963090149376
36,"Protégez-vous avant de rester vigilant ! & n'allez pas dans votre local pour une pinte effrontée, même si les gens agissent comme si c'était fini ....... ce n'est pas x",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1281368630790414336
37,Au plaisir d'embrasser mon nouveau rôle demain au sein du Service d'intervention rapide communautaire et de revenir à ce que je fais le mieux. @CrisRapid #Nursing #StayAtHome,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284869113370812416
38,"Portez un masque, restez à la maison et nettoyez après avoir visité la plage.
Keepin it real comme dirait mon meilleur ami @FatBoyNunn.
#dontbeachump",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1287418486638206976
39,"Le #coronavirus va continuer à augmenter si nous n'écoutons pas les conseils et ne suivons pas les directives. Oui, c'est ennuyeux, contraignant, mais la vie de nombreuses personnes en dépend.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1289244040903491584
40,"Que cela soit une leçon pour nous, les connards «civilisés» désobéissants civilement: lorsque vous vous comportez comme des hooligans barbares absolus, vous obtenez des résultats avec le gouvernement. Demandez simplement à SADTU et à l'industrie du taxi. Nous devrions apprendre d'eux. #cyrilramaphosa #LockdownSA",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1286365208433360896
41,@ericgarcetti Monsieur le Maire il est temps de le fermer s'il vous plait aidez nous. Sauve-nous de nous-mêmes,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285957248976486400
42,Cure gratuite : restez foutrement à la maison #StayAtHome,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284823021107269632
43,"@GavinNewsom Je comprends que vous ayez peur que vos très riches donateurs s'énervent à propos d'une fermeture à court terme retardant leurs profits obscènes, mais le reste d'entre nous a peur de perdre la vie ou d'être mis en faillite par les coûts de santé associés à COVID-19 . #ShutdownCA",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1285058193341603840
44,"Les gars S'IL VOUS PLAÎT, je ne sais pas à quel point je peux souligner cela, mais S'IL VOUS PLAÎT !!! Restez à la maison, portez des masques, lavez-vous les mains et désinfectez votre environnement, j'ai le COVID-19 et c'est un cauchemar.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1287823257354358790
45,"Il en va de notre vie, pour notre sécurité.. S'il vous plaît, restez chez vous.. C'est la seule façon de lutter contre la pandémie #Covide-19.
S'il vous plaît et s'il vous plaît",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289166307724673025
46,"@GovMikeDeWine Maintenant, veuillez fermer les bars et les restaurants à l'intérieur",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1288102937462439936
47,"Rappelez-vous que l'Aïd reviendra,
Inutile de risquer sa vie.
#Reste à la maison",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1288413384405180419
48,"NE COMPTE PAS ABSOLUMENT
sur N95, désinfectant ou EPI

La seule garantie pour la prévention du covid-19 est la distanciation sociale

Évitez les foules par tous les moyens",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1283592731281911809
49,"@ProjectLincoln Il n'y a pas de vaccin
C'est 1918
Porter un masque
Distance sociale
Et garde tes mains propres

#Rester à la maison
#Reste à la maison",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283385457372311553
50,"Envoi de remerciements et de pensées chaleureuses à tous ceux d'entre vous qui traversent ces temps difficiles. Être en première ligne n'est pas facile, mais c'est très apprécié. #StayAtHome",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290111252828581888
51,"@alyxei1 #IStandWithDan il fait un excellent travail pour nous faire traverser ce verrouillage, nous devons tous soutenir @DanielAndrewsMP dans nos actions maintenant",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1281351212198096898
52,Je suis allé au centre commercial. A cause d'un téléphone cassé. C'était étrange. Je ne sais pas pourquoi les gens y vont pour s'amuser. Il y avait des gens qui faisaient la queue pour entrer dans certains magasins. De nombreux magasins étaient sombres. Contrôles temporaires chez Apple (est-ce important si 40 % des personnes infectées sont asymptomatiques) ?,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286453059854503936
53,Août déjà #soupir - J'ai économisé beaucoup d'argent en essence cette année... et conduire 10 miles semble être un gros trajet... #covidlife2020 #WearAMask #digdeep,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289604924888801280
54,"Mon nouveau mantra : ""Mieux vaut prévenir que covid !"" #Covid19 #distanciation sociale #mantra",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1277544715928428544
55,"@WesLeyDoutCold @ElijahSchaffer et s'ils sont incapables de respirer, n'ont rien mangé et ont à peine bu la semaine dernière à cause du virus. pouvons-nous simplement prendre les choses au sérieux, j'aimerais que tout redevienne normal, mais cela n'arrivera pas si nous continuons à propager ce virus.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1282718164988690439
56,"Amitabh ji a dû prendre toutes les précautions mais il est positif, c'est effrayant même d'imaginer qui sort tous les jours sans masque.
#Porter un masque",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282017624730112000
57,"Ce qui arrive à notre monde est comme dans un titre de film 'Bird Box'
Mais le différent; nous avons affaire au virus, pour être en sécurité, nous devons rester à l'intérieur de notre maison pour être en sécurité.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1288501150782648320
58,@CDCDirector Pas mes enfants. Ils ne meurent pas pour Trump !,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1286445370239746050
59,@OregonGovBrown Bien ! Les cas augmentent et il est essentiel que des mesures soient prises pour arrêter la propagation.,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289168040798457856
60,Qu'a-t-on jamais demandé à TOUT milliardaire de sacrifier pour le bien du pays ? Je demande puisqu'on nous demande de sacrifier notre santé/vie et la santé/vie de nos ENFANTS pour le bien du marché/de l'économie ! #GeneralStrike #TeachersStrike #HellNoWeWontGo,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1286167185556037634
61,"40 000 nouveaux cas par jour. Ferme-la, maintenant. Tout ça, point. Pouvons-nous apprendre de l'Europe, de l'Italie. Eh bien, je suppose que le manque d'autodiscipline dans ce pays est la différence ? C'est la guerre contre un virus pas l'autre. Faites-le, #ShelterInPlace #COVID19Pandemic",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1278042031399436288
62,"@OCDeptofEd Fermez les écoles ! Gardez les élèves, les enseignants et les familles en sécurité et en vie. La propagation du #Covid19 est bien pire maintenant.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283096957095821312
63,@VisitLB @LongBeachCity Pourquoi encouragez-vous les gens à « visiter » Long Beach pendant une pandémie ? #COVIDー19 #StayAtHome,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1280502494129422344
64,"Les principaux reportages d'hier parlaient du nombre de personnes qui meurent, et les reportages d'aujourd'hui parlent de ce que les gens font pour retourner à l'extérieur et reprendre une «vie normale». Ik certains sont impatients de revenir à la «normale», mais ils oublient que nous sommes toujours en QUARANTAINE.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1290843299972964352
65,"Avec cinq décès de covid19 maintenant, je ne peux faire comprendre à personne à quel point il est important pour nous de continuer à être vigilants quant à notre santé. Veuillez porter un masque, respecter l'hygiène personnelle et, si ce n'est pas nécessaire, éviter les endroits bondés.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290530553498927106
66,"Un jour, nous n'aurons plus à nous éloigner. Un jour, nous n'aurons plus à porter de masques. Un jour, nous n'aurons plus à rester à la maison. Un jour, le COVID-19 ne sera plus une menace. Quand ce jour viendra... c'est à vous de décider. #WearAMask #SocialDistance",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1283980398914007040
67,"S'il vous plaît, ne soyez pas complaisant - Distance sociale (1,5 m), limitez votre temps dans les lieux publics fermés, portez un masque, lavez-vous les mains, couvrez la toux et les éternuements, faites-vous tester en cas de symptômes et vérifiez vos voisins et amis : savon: :maison_avec_jardin: :masque: :hôpital: #COVID19Aus",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1286426681457045505
68,"Je comprends qu'en tant que créatures sociales, nous DEVONS nous voir IRL, mais à quel prix ? Combien d'autres pourraient mourir du #COVID19 si nous envoyons nos enfants dans un immeuble avec des milliers d'autres personnes ? #WeAreTPS",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1280545980807602176
69,Merci pour votre aide @AUThackeray @OfficeofUT @mybmcwardKW @mybmc. Nous avons pu obtenir le plasma mais malheureusement il est décédé le matin. Bravo au travail accompli par tout le monde au niveau local. Covid est réel.,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1287706125077340161
70,@AISDSupt Une étude récente de Yale montre que probablement la moitié des infections sont causées par des personnes infectées mais qui ne présentent pas encore de symptômes. Vous ne pouvez pas garder les enfants et les enseignants en sécurité si c'est vrai. #sallesdeclassevirtuelles,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282306632903528449
