,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@SenSchumer @InactionNever Tout le monde ne veut pas que nos écoles rouvrent.
Pas maintenant.
Financez l'enseignement à distance, s'il vous plaît.
Ce virus n'en a pas encore fini avec les États-Unis.

#Rester à la maison
#Reste à la maison",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282971632835805186
1,"@dougducey #AZ n'a pas besoin d'un parent, nous avons besoin d'un leader. #closerestaurants et #closecasinos maintenant. Arrêtez de faire les mêmes choses et d'agir comme si c'était nouveau. Nous brûlons et tu es notre Nero. #WearAMask #MaskitOrCasket #StayAtHome",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1281625140929769472
2,"#LongCovid est réel. N'oublions pas ceux qui restent et qui souffrent encore. S'il vous plaît, soyez tous prudents avec le verrouillage qui s'assouplit lentement - faites confiance à votre instinct. Si quelque chose ne va pas, ne le faites pas - prenez soin de vous car le gouvernement ne le fera pas.",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1278612223070474240
3,"@forevergame6 Pourquoi les enfants, les enseignants et nos merveilleux paraprofessionnels ne valent-ils pas la peine d'être protégés ? Pourquoi sommes-nous les cobayes ?",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1288850010264805378
4,"@ahmhaitham @kudanai @AdleeDeadly Dans l'État du Kerala, si vous ne portez pas de masque et que vous ne vous promenez pas, vous serez condamné à une amende sur place ou à une peine de prison de 2 ans. Vous ne pouvez pas mettre la vie des autres en danger !
#COVID-19 [feminine",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1282581730163961856
5,@PTI_News Prenez vos précautions. #Soyez prudent,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284826477460983809
6,"@prdcanadian @MaureenShaw @Alyssa_Milano Exactement. Mais avec son ""leadership"" gérant ce Coronavirus.... le. YS est le n ° 1 pour les cas et se propage de manière effrénée. Tous les Américains doivent",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1243412545274179584
7,"Houston, n'oubliez pas de vous masquer, de vous éloigner de la société et de pratiquer des méthodes d'hygiène appropriées.",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285091140010729472
8,"Au nom de tout le monde @BottishamPri, nous aimerions dire un grand merci à l'incroyable personnel du NHS et aux travailleurs clés qui sont en première ligne contre COVID-19 _ton ::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_skin_tone::clapping_hands_light_s kin_tone :: clapping_hands_light_skin_tone :: clapping_hands_light_skin_tone :: clapping_hands_light_skin_tone :: clapping_hands_light_skin_tone: #clapforourcarers #clapforNHS #ClapForCarers #ThankYouNHS",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1243423529149710336
9,"Juste une question...
Sommes-nous toujours en train de laver les légumes comme nous l'avons fait en avril..mai.....!!
Sommes-nous toujours à la maison .. !!
Sommes-nous toujours en train de tout désinfecter correctement .. !!",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290720515938586625
10,"Aucune ombre pour te déprimer,
Que des joies de t'entourer,
Dieu lui-même pour te bénir,
Ce sont mes souhaits pour vous,
Aujourd'hui, demain et tous les jours..!!
#eidmubarak2020
#Eid_Ul_Adha_Mubarak
#Reste à la maison",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1289513193383985152
11,@SLBG50 @josfelines @AngryCanuck70 Je ne trouve rien de risible à propos de 150 000 Américains morts. Et nous sommes loin de la fin de cette pandémie. #WearADamnMask,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1287151942754381824
12,"Aïd moubarak à vous tous. Qu'ALLAH vous bénisse tous les humains et animaux. Veuillez nourrir le pauvre animal également dans cette situation de pandémie.
Restez en sécurité, restez à la maison.
#EidulAdha2020 #EidAlAdhaMubarak #EidMubarak #HappyEid",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1289305972976934912
13,"@BremainInSpain #lockdown est un #lifechoice pour certains maintenant
Profitez de la paix et de la tranquillité, de la nature, du rythme de vie plus lent
Temps pour lire, jardiner, faire de l'exercice, prendre soin de nous
Tout le monde n'a pas la même chance
Nous avons eu un moment pour changer le monde mais pas avec les #Tories",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282272891594211333
14,"Un festival d'amour, d'attention et de responsabilité. Ce festival est venu avec une lumière de bonheur dans notre vie au moment de la pandémie alors les gars profitent de ce #Rakhdi #RakshaBandhan2020 avec la vôtre :famille:.
Soyez prudent, portez un masque et profitez de ce festival avec votre gratitude. :rougir: :rougir:",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290171772864573440
