,Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
0,"@sanket सच है! वास्तव में वायरस अपने अधिक मजबूत अवतार में है और शायद इसने मौसम के अनुकूल ढलना सीख लिया है। यह मूल संस्करण की तुलना में अधिक खतरनाक है।
हमें और अधिक तैयारियों और अधिक सावधानियों की आवश्यकता है।

#कोरोना वाइरस",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1284746895009579008
1,"@GavinNewsom राज्यपाल बनें मुझे लगा कि आप थे और एक और #StayAtHome जनादेश का आदेश दें। स्पष्ट रूप से आप संख्याओं को जानते हैं, #FlattenTheCurve & save #California - अपने बच्चों और मेरे लिए! #GavinNewsom #Covid_19",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286016980529500160
2,"@thegoodgodabove और #Texas के कुछ AHOLE ने अभी-अभी #Montana के लिए सभी तरह से गाड़ी चलाई और अगले गलियारे में अनियंत्रित रूप से खाँसना शुरू कर दिया, सुना कि वह तब तक खाँसता रहता है जब तक कि एक स्टोर मैनेजर ने उसे छोड़ने के लिए नहीं कहा ...
मैंने 3 ब्लॉकों में 7 अलग-अलग आउट-ऑफ-स्टेट प्लेट्स की गिनती की ... डब्ल्यूटीएफ",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1286089915122323456
3,@FoxNews कमजोर लोगों की रक्षा करना मृत्यु दर में गिरावट का एक बड़ा हिस्सा है।,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1280983095257292806
4,"@Matthew_Xing @thehill ""अत्यधिक संक्रामक और घातक वैश्विक महामारी के दौरान शायद हम चाहते हैं कि लोग घर पर रहें, आप मूर्ख पीओएस हैं।""
#DontDieForWallStreet",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1287998882975105025
5,"#FridayFeeling
#फ्राइडेमोटिवेशन
:point_right::point_right:आज जियो जैसे तुम्हारा आखिरी दिन है:face_with_rolling_eyes::face_with_rolling_eyes::innocent::innocent::innocent:
#StayHomeStaySafe",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1284025774983376896
6,एक अच्छा दोस्त मेरी पत्नी के लिए रो रहा है क्योंकि उसकी चाची COVID-19 से मर रही है क्योंकि उसके पास गुर्दे की पथरी होने और अस्पताल जाने की हिम्मत थी। तो पूरे सम्मान के साथ (जो कुछ भी नहीं है) आप सभी भूतों को चोदो जो चाहते हैं,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1251328089256230912
7,"@anushkasen_04 दुनिया की सबसे प्यारी लड़की को जन्मदिन मुबारक हो :smiling_face_with_3_hearts::smiling_face_with_3_hearts::innocent:
.
.
.
.
.
#घर में रहना",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1290531504095821829
8,@News24 @City_Press यह एक बहुत ही वास्तविक खतरा है जो मैं अपने आसपास के लोगों में देखता हूं। कृपया सभी स्वास्थ्य प्रोटोकॉल का पालन करें। यह आपका जीवन बचा सकता है।,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287611539734892544
9,"क्या कोई ट्रम्प से पूछेगा कि वास्तव में, वह कैसे, व्यक्तिगत रूप से, अर्थव्यवस्था को फिर से खोलेंगे?

मैं वास्तव में जानना चाहता हूं कि वह क्या सोचता है कि वह कर्कश शोर करने के अलावा क्या कर सकता है
#डेलीब्रीफिंग #COVID19",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1248690648456269829
10,"#Florida @GovRonDeSantis एक गैर-जिम्मेदार अखरोट का काम है।

#Covid19 #WearAMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1278313515460124672
11,"@abidlll @diprjk @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI @PTI_News @ddnews_jammu @ddnewsSrinagar @HealthMedicalE1 भाई हम खुद भी अपने स्वास्थ्य और भलाई के लिए उतने ही जिम्मेदार हैं।
हमें फेस मास्क पहनकर सभी दिशा-निर्देशों का पालन करना चाहिए और Covid19 के खिलाफ इस लड़ाई में अपना योगदान देना चाहिए।",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1281073197262139392
12,"COVID-19 आयरलैंड दिवस 26: हमने अपने स्वास्थ्य कर्मियों की सराहना की। लंबे समय से देय इनाम।
#Coronavirusireland #COVID19IRELAND #Coronacrisis",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1243317590358884353
13,"@DrAlGrossAK #Alaska खुलता है, आगंतुकों को अनुमति देता है और अनुमान लगाता है कि क्या होता है: विस्मयादिबोधक_प्रश्न_मार्क_चयनकर्ता: #COVID19 #SURGE #WTF हमें ""नेतृत्व"" कहां ले जा रहा है - #Morgue तक: विस्मयादिबोधक_प्रश्न_मार्क_चयनकर्ता:: चीख: #WearAMask",stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1282561458694283264
14,@DDNational की शानदार पहल अब #COVID19 को #Lockdown21 से पूरी तरह से #ब्रेकडाउन करने के लिए।,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1243396321454653440
15,"श्री @SrBachchan जी और @juniorbachchan के COVID पॉजिटिव होने की खबर सुनकर बेहद चिंतित हूं। उनके शीघ्र और सुरक्षित स्वास्थ्य लाभ के लिए मेरी प्रार्थना। हम उन्हें स्वस्थ और तंदरुस्त देखने के लिए उत्सुक हैं।
एक बार फिर सभी से मेरी अपील- #WearAMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1282025875425202176
16,कोविड 19 वास्तविक है। मैंने अभी-अभी चचेरे भाई को खोया है।,stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1277287040346882048
17,"@TMZ @TooFab मुझे उन लोगों के लिए बुरा लग रहा है जिन्हें यह वायरस हो गया है, लेकिन यह भी कि आप अपने अजेय की तरह काम करने वाले बेवकूफ हैं और यह कि आप इसे पाने नहीं जा रहे हैं या यह फ्लू है। यह कमबख्त फ्लू लोग नहीं हैं। #WearAdamnMask, #सुरक्षित रहें, #स्वस्थ रहें और",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1287621411301986304
18,"मुझे नफरत है कि मुझे अपने कुछ करीबी दोस्तों से बात करते हुए ""जब हम एक-दूसरे से मिलते हैं ..."" शब्दों को जोड़ना पड़ता है।
#WearAMask #WearAdamnMask",stay_at_home_orders,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1290618140079030272
19,क्या @NAkufoAddo कृपया लॉकडाउन करें। इस समय यह सही कॉल है!,stay_at_home_orders,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1280169600387362816
